fuente,archivo,pagina,tabla,tipo_indice,sector,anno,medida,valor,unidad
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,nominales,"Textiles, Prendas, Curtiembres y Cuero",2020,indice,878.0,indice_1995_100
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,nominales,"Textiles, Prendas, Curtiembres y Cuero",2021,indice,937.0,indice_1995_100
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,nominales,"Textiles, Prendas, Curtiembres y Cuero",2022,indice,1025.0,indice_1995_100
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,nominales,"Textiles, Prendas, Curtiembres y Cuero",2023,indice,1107.0,indice_1995_100
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,nominales,"Textiles, Prendas, Curtiembres y Cuero",2024,indice,1198.0,indice_1995_100
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,nominales,"Textiles, Prendas, Curtiembres y Cuero",2025,indice,1253.0,indice_1995_100
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,nominales,"Textiles, Prendas, Curtiembres y Cuero",2020,variacion_anual,7.2,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,nominales,"Textiles, Prendas, Curtiembres y Cuero",2021,variacion_anual,6.7,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,nominales,"Textiles, Prendas, Curtiembres y Cuero",2022,variacion_anual,9.4,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,nominales,"Textiles, Prendas, Curtiembres y Cuero",2023,variacion_anual,8.0,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,nominales,"Textiles, Prendas, Curtiembres y Cuero",2024,variacion_anual,8.2,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,nominales,"Textiles, Prendas, Curtiembres y Cuero",2025,variacion_anual,5.0,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,nominales,Papel y Prod. de papel,2019,indice,870.0,indice_1995_100
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,nominales,Papel y Prod. de papel,2020,indice,930.0,indice_1995_100
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,nominales,Papel y Prod. de papel,2021,indice,990.0,indice_1995_100
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,nominales,Papel y Prod. de papel,2022,indice,1063.0,indice_1995_100
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,nominales,Papel y Prod. de papel,2023,indice,1152.0,indice_1995_100
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,nominales,Papel y Prod. de papel,2024,indice,1257.0,indice_1995_100
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,nominales,Papel y Prod. de papel,2025,indice,1321.0,indice_1995_100
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,nominales,Papel y Prod. de papel,2020,variacion_anual,6.9,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,nominales,Papel y Prod. de papel,2021,variacion_anual,6.4,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,nominales,Papel y Prod. de papel,2022,variacion_anual,7.4,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,nominales,Papel y Prod. de papel,2023,variacion_anual,8.4,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,nominales,Papel y Prod. de papel,2024,variacion_anual,9.1,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,nominales,Papel y Prod. de papel,2025,variacion_anual,6.1,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,nominales,Prod. Quimicos,2019,indice,988.0,indice_1995_100
