fuente,archivo,pagina,tabla,grupo_costo,componente,componente_etiqueta,sector_codigo,sector,anno,valor,unidad
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,trabajos_hechos_por_terceros,Trabajos hechos por terceros,36,Muebles y Otras Industrias,2005,0.4,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,envases,Envases,15_16,"Alimentos, Bebidas y Tabaco",2005,3.8,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,envases,Envases,17_18_19,"Textiles, Vestimenta y Cuero",2005,0.8,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,envases,Envases,20,Madera y productos de madera,2005,0.2,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,envases,Envases,21_22,Papel e imprenta,2005,0.3,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,envases,Envases,23,Prod. derivados del petroleo,2005,0.1,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,envases,Envases,24_25,"Prod. quimicos, caucho y plastico",2005,4.5,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,envases,Envases,26_27,Minerales no metalicos y metalicas basicas,2005,2.2,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,envases,Envases,28_29_30,"Metalicos, Maq. y Equipos",2005,0.2,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,envases,Envases,31_32_33,Maq. y aparatos electricos,2005,0.8,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,envases,Envases,34_35,Vehiculos y equipo de transporte,2005,0.6,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,envases,Envases,36,Muebles y Otras Industrias,2005,1.5,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,fuel_oil,Fuel Oil,15_16,"Alimentos, Bebidas y Tabaco",2005,0.5,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,fuel_oil,Fuel Oil,17_18_19,"Textiles, Vestimenta y Cuero",2005,0.6,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,fuel_oil,Fuel Oil,20,Madera y productos de madera,2005,0.0,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,fuel_oil,Fuel Oil,21_22,Papel e imprenta,2005,0.7,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,fuel_oil,Fuel Oil,23,Prod. derivados del petroleo,2005,3.7,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,fuel_oil,Fuel Oil,24_25,"Prod. quimicos, caucho y plastico",2005,0.2,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,fuel_oil,Fuel Oil,26_27,Minerales no metalicos y metalicas basicas,2005,4.2,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,fuel_oil,Fuel Oil,28_29_30,"Metalicos, Maq. y Equipos",2005,0.1,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,fuel_oil,Fuel Oil,31_32_33,Maq. y aparatos electricos,2005,0.2,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,fuel_oil,Fuel Oil,34_35,Vehiculos y equipo de transporte,2005,0.2,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,fuel_oil,Fuel Oil,36,Muebles y Otras Industrias,2005,0.0,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,gas_oil,Gas Oil,15_16,"Alimentos, Bebidas y Tabaco",2005,0.4,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,gas_oil,Gas Oil,17_18_19,"Textiles, Vestimenta y Cuero",2005,0.1,porcentaje
