anno,seccion,epoca,ciiu_version,vbp_pp,vbp_pb,vab_pp,vab_pb,remuneraciones,puestos_trabajo,fbcf,adquisiciones_importadas,consumo_capital,impuestos_netos,stock_capital,excedente_bruto,part_salarial,productividad
2009,I,4,Rev.4,12674114232.329699,,5436411405.30722,,2965205187.346009,17697.47114393285,780365867.9798987,102402210.99999996,737296133.2061119,15094091.340586243,15824518238.219559,2471206217.9612117,0.5454342885917848,307185.7759277072
2009,L_M_N,4,Rev.4,31888503540.244015,,14557699643.28025,,9817803133.818142,61772.26059778474,1092830465.862845,135506809.22757807,606069186.2340653,-223909629.7313222,5636265167.868918,4739896509.462109,0.6744062162561503,235667.26395313942
2009,P,4,Rev.4,7024062835.930464,,5473932707.726543,,4330630889.862952,30152.827014852148,396857073.3720381,3129009.662762624,191083057.80342904,-4797671.992533818,4420167255.398483,1143301817.8635912,0.7911370345766577,181539.61832601269
2009,Q,4,Rev.4,39651080888.02129,,21927460428.530155,,19081212214.05461,74044.77105935742,1722104161.7903728,11132202.468913218,757359356.4955981,-3846200.943515083,14648937124.258993,2846248214.475544,0.8701970880872166,296137.86517014384
2009,R_S,4,Rev.4,11746279430.033699,,5121528140.795765,,3385269866.458434,23552.492350678687,375209335.0574034,76243318.33142865,387237796.6218159,-11281477.410974983,5516886601.521176,1736258274.3373308,0.6609882389384749,217451.64225255267
2010,C,4,Rev.4,298614685114.7447,,95564090931.25235,,34131850283.349632,112274.19392986668,10581328732.31509,2632960238.7007856,8154845648.119941,12317165605.546686,99737810059.4515,61432240647.90272,0.35716187901482443,851167.0187625441
2010,D_E,4,Rev.4,38994624353.25,,26390029596.5,,7026644454.0,12607.25,9171112853.0,908300.0,5678174155.5,56662309.0,109721059531.5,19363385142.5,0.26626133283806225,2093242.348370977
2010,G,4,Rev.4,114837662487.26848,,64321142010.21485,,26747076212.073902,112666.90862356791,8076935906.251478,335093521.0642969,3268959735.655114,1813337271.242114,39049175307.96808,37574065798.140945,0.41583646334864816,570896.484123112
2010,H_J,4,Rev.4,116055949020.83559,,52926000790.248505,,24322396293.503326,59920.01346643693,15474182798.701178,6003664796.624387,10453299412.698706,-2347558987.9468718,112215574588.5222,28603604496.74518,0.4595547732747771,883277.5182851721
2010,I,4,Rev.4,23403987317.61672,,7645859617.6687355,,4544184703.8722515,24412.39200548415,2294878556.6562476,64677873.00000002,1352996595.5048409,49613909.429970585,35928437064.36558,3101674913.796484,0.5943327410002589,313195.83988128335
2010,L_M_N,4,Rev.4,44407587120.34708,,20477575683.720596,,15123683950.907442,73624.33063324595,1864415627.9980383,278602385.8496859,1134903747.6219468,69904849.2189583,8788434025.667976,5353891732.813154,0.738548555966543,278135.9844984954
2010,P,4,Rev.4,9307663615.334665,,6744492273.282581,,5107759058.784558,31457.153758588982,473420936.0844009,11199774.999999998,214367634.50361508,793234.6527709633,5610572006.285844,1636733214.498023,0.7573229906450147,214402.4956943564
