anno,nivel_validacion,grupo_o_division,variable,test,estado,valor_observado,valor_referencia,diferencia,diferencia_pct,mensaje
2010,consistencia,30,vab_pp_remuneraciones,vab_pp_mayor_igual_remuneraciones,ok,294860550.3840355,110122070.9116406,184738479.47239494,167.757905334549,
2010,consistencia,30,puestos_trabajo,puestos_trabajo_positivo,ok,212.01601923583857,0,212.01601923583857,,
2010,consistencia,31,vab_pp,no_nulo_en_fila_aditiva,ok,744922395.9238878,no_nulo,,,
2010,consistencia,31,remuneraciones,no_nulo_en_fila_aditiva,ok,444543517.6435163,no_nulo,,,
2010,consistencia,31,vbp_pp_vab_pp,vbp_pp_mayor_igual_vab_pp,ok,1841587484.5793447,744922395.9238878,1096665088.655457,147.21870286841374,
2010,consistencia,31,vab_pp_remuneraciones,vab_pp_mayor_igual_remuneraciones,ok,744922395.9238878,444543517.6435163,300378878.28037155,67.57018522565619,
2010,consistencia,31,puestos_trabajo,puestos_trabajo_positivo,ok,2013.5689374799836,0,2013.5689374799836,,
2010,consistencia,32,vab_pp,no_nulo_en_fila_aditiva,ok,575001609.7090727,no_nulo,,,
2010,consistencia,32,remuneraciones,no_nulo_en_fila_aditiva,ok,361060016.581869,no_nulo,,,
2010,consistencia,32,vbp_pp_vab_pp,vbp_pp_mayor_igual_vab_pp,ok,1255645424.1990879,575001609.7090727,680643814.4900151,118.37250591948656,
2010,consistencia,32,vab_pp_remuneraciones,vab_pp_mayor_igual_remuneraciones,ok,575001609.7090727,361060016.581869,213941593.1272037,59.253748214098714,
2010,consistencia,32,puestos_trabajo,puestos_trabajo_positivo,ok,1274.962854287919,0,1274.962854287919,,
2010,consistencia,33,vab_pp,no_nulo_en_fila_aditiva,ok,992424626.3549608,no_nulo,,,
2010,consistencia,33,remuneraciones,no_nulo_en_fila_aditiva,ok,657458325.9326761,no_nulo,,,
2010,consistencia,33,vbp_pp_vab_pp,vbp_pp_mayor_igual_vab_pp,ok,2130951732.4335911,992424626.3549608,1138527106.0786304,114.72177088755686,
2010,consistencia,33,vab_pp_remuneraciones,vab_pp_mayor_igual_remuneraciones,ok,992424626.3549608,657458325.9326761,334966300.4222847,50.94867419118903,
2010,consistencia,33,puestos_trabajo,puestos_trabajo_positivo,ok,1805.0828903075076,0,1805.0828903075076,,
2010,reconciliacion,fuente_aditiva_vs_panel_c,vbp_pp,suma_fuente_reconcilia_panel_principal,ok,298614685114.7446,298614685114.7447,-6.103515625e-05,-2.043943559793345e-14,Referencia: data/analysis-data/20260605_panel_eaae.csv
2010,reconciliacion,fuente_aditiva_vs_panel_c,vab_pp,suma_fuente_reconcilia_panel_principal,ok,95564090931.25232,95564090931.25235,-3.0517578125e-05,-3.193414788715353e-14,Referencia: data/analysis-data/20260605_panel_eaae.csv
2010,reconciliacion,fuente_aditiva_vs_panel_c,remuneraciones,suma_fuente_reconcilia_panel_principal,ok,34131850283.349636,34131850283.349632,3.814697265625e-06,1.117635649388133e-14,Referencia: data/analysis-data/20260605_panel_eaae.csv
2010,reconciliacion,fuente_aditiva_vs_panel_c,puestos_trabajo,suma_fuente_reconcilia_panel_principal,ok,112274.19392986668,112274.19392986668,0.0,0.0,Referencia: data/analysis-data/20260605_panel_eaae.csv
2010,reconciliacion,homologado_total_vs_fuente_aditiva,vbp_pp,suma_homologada_reconcilia_fuente,ok,298614685114.7446,298614685114.7446,0.0,0.0,
2010,reconciliacion,homologado_total_vs_fuente_aditiva,vbp_pb,suma_homologada_reconcilia_fuente,ok,,,,,
2010,reconciliacion,homologado_total_vs_fuente_aditiva,vab_pp,suma_homologada_reconcilia_fuente,ok,95564090931.25233,95564090931.25232,1.52587890625e-05,1.596707394357677e-14,
2010,reconciliacion,homologado_total_vs_fuente_aditiva,vab_pb,suma_homologada_reconcilia_fuente,ok,,,,,
2010,reconciliacion,homologado_total_vs_fuente_aditiva,remuneraciones,suma_homologada_reconcilia_fuente,ok,34131850283.349636,34131850283.349636,0.0,0.0,
2010,reconciliacion,homologado_total_vs_fuente_aditiva,puestos_trabajo,suma_homologada_reconcilia_fuente,ok,112274.19392986668,112274.19392986668,0.0,0.0,
2010,cobertura,homologado,vbp_pb,disponibilidad_pb_segun_periodo,ok,no,no,,,
2010,cobertura,homologado,vab_pb,disponibilidad_pb_segun_periodo,ok,no,no,,,
2011,cobertura,industria,filas_fuente,existe_fuente_anual,ok,23,1,22.0,2200.0,Seccion fuente esperada: C; observadas: C
2011,cobertura,industria,filas_aditivas,existe_base_para_homologacion,ok,23,1,22.0,2200.0,
2011,cobertura,industria,grupos_homologados,existe_panel_homologado,ok,10,1,9.0,900.0,
2011,estructura,fuente_aditiva,clave,sin_duplicados_division_descripcion,ok,0,0,0.0,,
2011,consistencia,10,vab_pp,no_nulo_en_fila_aditiva,ok,29448773505.30103,no_nulo,,,
2011,consistencia,10,remuneraciones,no_nulo_en_fila_aditiva,ok,14135982371.22777,no_nulo,,,
2011,consistencia,10,vbp_pp_vab_pp,vbp_pp_mayor_igual_vab_pp,ok,129575488824.49507,29448773505.30103,100126715319.19405,340.0030065808017,
2011,consistencia,10,vab_pp_remuneraciones,vab_pp_mayor_igual_remuneraciones,ok,29448773505.30103,14135982371.22777,15312791134.07326,108.32491674042232,
2011,consistencia,10,puestos_trabajo,puestos_trabajo_positivo,ok,48039.78609317817,0,48039.78609317817,,
2011,consistencia,11 y 12,vab_pp,no_nulo_en_fila_aditiva,ok,13445030081.110367,no_nulo,,,
2011,consistencia,11 y 12,remuneraciones,no_nulo_en_fila_aditiva,ok,2665715646.84237,no_nulo,,,
2011,consistencia,11 y 12,vbp_pp_vab_pp,vbp_pp_mayor_igual_vab_pp,ok,24575938475.218292,13445030081.110367,11130908394.107925,82.78827438063026,
2011,consistencia,11 y 12,vab_pp_remuneraciones,vab_pp_mayor_igual_remuneraciones,ok,13445030081.110367,2665715646.84237,10779314434.267998,404.36850220827034,
2011,consistencia,11 y 12,puestos_trabajo,puestos_trabajo_positivo,ok,4266.854635051921,0,4266.854635051921,,
2011,consistencia,13,vab_pp,no_nulo_en_fila_aditiva,ok,1424766388.4727576,no_nulo,,,
2011,consistencia,13,remuneraciones,no_nulo_en_fila_aditiva,ok,827319806.2754966,no_nulo,,,
2011,consistencia,13,vbp_pp_vab_pp,vbp_pp_mayor_igual_vab_pp,ok,6565870499.79133,1424766388.4727576,5141104111.318573,360.8383909750601,
2011,consistencia,13,vab_pp_remuneraciones,vab_pp_mayor_igual_remuneraciones,ok,1424766388.4727576,827319806.2754966,597446582.197261,72.2147079841954,
2011,consistencia,13,puestos_trabajo,puestos_trabajo_positivo,ok,3128.2003872105256,0,3128.2003872105256,,
2011,consistencia,14,vab_pp,no_nulo_en_fila_aditiva,ok,1322718581.082402,no_nulo,,,
2011,consistencia,14,remuneraciones,no_nulo_en_fila_aditiva,ok,859771988.2481514,no_nulo,,,
2011,consistencia,14,vbp_pp_vab_pp,vbp_pp_mayor_igual_vab_pp,ok,3527506406.6045794,1322718581.082402,2204787825.5221777,166.68608554043024,
2011,consistencia,14,vab_pp_remuneraciones,vab_pp_mayor_igual_remuneraciones,ok,1322718581.082402,859771988.2481514,462946592.83425057,53.845275161562114,
2011,consistencia,14,puestos_trabajo,puestos_trabajo_positivo,ok,4867.010798160643,0,4867.010798160643,,
2011,consistencia,15,vab_pp,no_nulo_en_fila_aditiva,ok,1733556499.7684252,no_nulo,,,
2011,consistencia,15,remuneraciones,no_nulo_en_fila_aditiva,ok,1557719287.478566,no_nulo,,,
2011,consistencia,15,vbp_pp_vab_pp,vbp_pp_mayor_igual_vab_pp,ok,8738758703.917183,1733556499.7684252,7005202204.148758,404.09425392737637,
2011,consistencia,15,vab_pp_remuneraciones,vab_pp_mayor_igual_remuneraciones,ok,1733556499.7684252,1557719287.478566,175837212.2898593,11.288119348800116,
2011,consistencia,15,puestos_trabajo,puestos_trabajo_positivo,ok,4566.356379018574,0,4566.356379018574,,
2011,consistencia,16,vab_pp,no_nulo_en_fila_aditiva,ok,1179676403.2105424,no_nulo,,,
2011,consistencia,16,remuneraciones,no_nulo_en_fila_aditiva,ok,857335197.0402097,no_nulo,,,
2011,consistencia,16,vbp_pp_vab_pp,vbp_pp_mayor_igual_vab_pp,ok,5783368187.765341,1179676403.2105424,4603691784.554798,390.2503917197668,
2011,consistencia,16,vab_pp_remuneraciones,vab_pp_mayor_igual_remuneraciones,ok,1179676403.2105424,857335197.0402097,322341206.1703328,37.598037183490874,
2011,consistencia,16,puestos_trabajo,puestos_trabajo_positivo,ok,3392.8341442196906,0,3392.8341442196906,,
2011,consistencia,17,vab_pp,no_nulo_en_fila_aditiva,ok,8434423519.733018,no_nulo,,,
2011,consistencia,17,remuneraciones,no_nulo_en_fila_aditiva,ok,1314854583.989643,no_nulo,,,
2011,consistencia,17,vbp_pp_vab_pp,vbp_pp_mayor_igual_vab_pp,ok,22864428105.03895,8434423519.733018,14430004585.305935,171.08465743445024,
2011,consistencia,17,vab_pp_remuneraciones,vab_pp_mayor_igual_remuneraciones,ok,8434423519.733018,1314854583.989643,7119568935.743375,541.4719637011552,
2011,consistencia,17,puestos_trabajo,puestos_trabajo_positivo,ok,2705.0610488400935,0,2705.0610488400935,,
2011,consistencia,18,vab_pp,no_nulo_en_fila_aditiva,ok,1614592856.1606827,no_nulo,,,
2011,consistencia,18,remuneraciones,no_nulo_en_fila_aditiva,ok,992018670.7634974,no_nulo,,,
2011,consistencia,18,vbp_pp_vab_pp,vbp_pp_mayor_igual_vab_pp,ok,4118467024.95966,1614592856.1606827,2503874168.7989774,155.07774354662413,
2011,consistencia,18,vab_pp_remuneraciones,vab_pp_mayor_igual_remuneraciones,ok,1614592856.1606827,992018670.7634974,622574185.3971853,62.758313300497385,
