anno,seccion,epoca,ciiu_version,vbp_pp,vbp_pb,vab_pp,vab_pb,remuneraciones,puestos_trabajo,fbcf,adquisiciones_importadas,consumo_capital,impuestos_netos,stock_capital,excedente_bruto,part_salarial,productividad
2010,D_E,4,Rev.4,38994624353.25,,26390029596.5,,7026644454,12607.25,9171112853,908300,5678174155.5,56662309,109721059531.5,19363385142.5,0.266261332838062,2093242.34837098
2010,G,4,Rev.4,114837662487.268,,64321142010.2149,,26747076212.0739,112666.908623568,8076935906.25148,335093521.064297,3268959735.65511,1813337271.24211,39049175307.9681,37574065798.1409,0.415836463348648,570896.484123112
2010,H_J,4,Rev.4,116055949020.836,,52926000790.2485,,24322396293.5033,59920.0134664369,15474182798.7012,6003664796.62439,10453299412.6987,-2347558987.94687,112215574588.522,28603604496.7452,0.459554773274777,883277.518285172
2010,I,4,Rev.4,23403987317.6167,,7645859617.66874,,4544184703.87225,24412.3920054842,2294878556.65625,64677873,1352996595.50484,49613909.4299706,35928437064.3656,3101674913.79648,0.594332741000259,313195.839881283
2010,L_M_N,4,Rev.4,44407587120.3471,,20477575683.7206,,15123683950.9074,73624.3306332459,1864415627.99804,278602385.849686,1134903747.62195,69904849.2189583,8788434025.66798,5353891732.81315,0.738548555966543,278135.984498495
2010,P,4,Rev.4,9307663615.33467,,6744492273.28258,,5107759058.78456,31457.153758589,473420936.084401,11199775,214367634.503615,793234.652770963,5610572006.28584,1636733214.49802,0.757322990645015,214402.495694356
2010,Q,4,Rev.4,47873424479.832,,28110573001.2681,,23647226705.2188,75954.1198662344,12635303080.9613,9310425.13581173,1099777430.17232,-50890166.004831,31147915094.4846,4463346296.04927,0.841221795946745,370099.38434906
2010,R_S,4,Rev.4,15929304299.5092,,6125496189.63325,,4034922088.96297,19366.4060191436,505220495.584963,8978822.89440496,422952488.884392,-3827397.75587447,6897228128.28815,2090574100.67028,0.658709427620189,316294.937923858
2011,C,4,Rev.4,322720110758.961,,97706590220.2346,,38240756792.5859,109399.623065035,,,38240756792.5859,97706590220.2346,,59465833427.6488,0.39138359763031,893116.333336454
2011,D_E,4,Rev.4,39578219783.4468,,19218415121.135,,7835641471.58971,14529.5853293553,,,7835641471.58971,19218415121.135,,11382773649.5453,0.407715278403609,1322709.1266195
2011,G,4,Rev.4,121044225323.414,,73231630121.0774,,31869388118.3108,114837.617814199,,,31869388118.3108,73231630121.0774,,41362242002.7666,0.435186108319856,637697.224262893
2011,H_J,4,Rev.4,146332394935.42,,65881979697.1665,,35431447242.5919,74688.4488608632,,,35431447242.5919,65881979697.1665,,30450532454.5746,0.53780179960372,882090.613769444
2011,I,4,Rev.4,14288171055.9734,,5844789879.8502,,3667389791.61286,20434.2780410222,,,3667389791.61286,5844789879.8502,,2177400088.23734,0.627463068305692,286028.694927057
2011,L_M_N,4,Rev.4,45797082564.7216,,22095561547.0846,,16480028160.395,74963.7941177931,,,16480028160.395,22095561547.0846,,5615533386.68951,0.745852424944119,294749.776303546
2011,P,4,Rev.4,9796213308.27243,,7387185362.68569,,6349584271.71878,32998.5544077656,,,6349584271.71878,7387185362.68569,,1037601090.96691,0.85954040138101,223863.908442827
2011,Q,4,Rev.4,52814828944.2457,,30273156006.6631,,27717309591.7406,79386.7887610837,,,27717309591.7406,30273156006.6631,,2555846414.92244,0.915573836624107,381337.45525053
2011,R_S,4,Rev.4,19127334833.8797,,8069809807.97131,,5379043920.79628,21219.0796480612,,,5379043920.79628,8069809807.97131,,2690765887.17503,0.666563902842282,380309.134129135
2012,B,4,Rev.4,2070794043.61599,,965726132.527184,,352142647.759346,1006.67903528926,300655513.741754,25535653.619955,134955357.559672,3971492.22313357,1967310741.58492,613583484.767838,0.364640280405204,959318.808352549
