anno,seccion,seccion_fuente,ciiu_version,epoca,archivo_fuente,division_publicada,codigos_componentes,codigos_base_2dig,nivel_agregacion,usar_para_homologacion,descripcion_fuente,vbp_pp,vbp_pb,vab_pp,vab_pb,remuneraciones,puestos_trabajo
2008,C,C,Rev.4,4,EAE_C1_2008.xls,20,20,20,division_2_digitos,si,Fabricación de sustancias y productos químicos.,16131157103.434166,,4863046611.025143,,1362958480.7926474,3467.5272735392264
2008,C,C,Rev.4,4,EAE_C1_2008.xls,21,21,21,division_2_digitos,si,"Fabricación de productos farmacéuticos, sustancias químicas medicinales y de productos botánicos.",6756721122.455124,,3030835147.9570866,,1478767411.9071171,3283.417618981305
2008,C,C,Rev.4,4,EAE_C1_2008.xls,22,22,22,division_2_digitos,si,Fabricación de productos de caucho y plástico.,8627282041.204708,,2116049535.789649,,977132297.6841114,4526.3200000601355
2008,C,C,Rev.4,4,EAE_C1_2008.xls,23,23,23,division_2_digitos,si,Fabricación de otros productos minerales no metálicos.,5167333436.177588,,1769089400.9895854,,726631704.7509845,2770.088259627212
2008,C,C,Rev.4,4,EAE_C1_2008.xls,24,24,24,division_2_digitos,si,Fabricación de metales comunes.,6213479499.478698,,1969358078.7781627,,548041038.1465917,1766.465954336153
2008,C,C,Rev.4,4,EAE_C1_2008.xls,25,25,25,division_2_digitos,si,"Fabricación de productos derivados del metal, excepto maquinaria y equipo.",5143324829.64377,,1776330919.7760649,,780458888.4933134,3702.885694629105
2008,C,C,Rev.4,4,EAE_C1_2008.xls,26,26,26,division_2_digitos,si,"Fabricación de los productos informáticos, electrónicos y ópticos.",363649865.6886391,,190622155.38582876,,114714318.51428182,360.791773243269
2008,C,C,Rev.4,4,EAE_C1_2008.xls,27,27,27,division_2_digitos,si,Fabricación de equipo eléctrico.,2857160737.90101,,1018921112.7666031,,434462629.74035794,1790.5542501592693
2008,C,C,Rev.4,4,EAE_C1_2008.xls,28,28,28,division_2_digitos,si,Fabricación de maquinaria y equipo n.c.p.,632724679.3913822,,249826804.38259423,,157104644.7353051,839.971506769134
2008,C,C,Rev.4,4,EAE_C1_2008.xls,29,29,29,division_2_digitos,si,"Fabricación de vehículos automotores, remolques y semirremolques.",4113523658.748799,,984600419.8556305,,301792025.46549726,1210.8997405607065
