fuente,archivo,pagina,tabla,anno,trimestre,variable,variable_etiqueta,valor,unidad
ciu,Inversion-en-Maquinaria-y-Equipos-3o-trimestre-2020.pdf,8,imeq,2015,4,imeq_industria_sin_refineria_ni_zf,Industria sin refinería ni ZF,261.0,indice_2002_100
ciu,Inversion-en-Maquinaria-y-Equipos-3o-trimestre-2020.pdf,8,imeq,2015,4,imeq_sector_privado_sin_celulosa,Sector privado sin celulosa,510.0,indice_2002_100
ciu,Inversion-en-Maquinaria-y-Equipos-3o-trimestre-2020.pdf,8,imeq,2015,4,imeq_sector_privado_sin_zf_ni_celulosa,Sector privado sin ZF ni celulosa,500.0,indice_2002_100
ciu,Inversion-en-Maquinaria-y-Equipos-3o-trimestre-2020.pdf,8,imeq,2015,4,imeq_total_economia_sin_celulosa,Economía sin celulosa,457.0,indice_2002_100
ciu,Inversion-en-Maquinaria-y-Equipos-3o-trimestre-2020.pdf,8,imeq,2016,1,imeq_industria_sin_refineria_ni_zf,Industria sin refinería ni ZF,280.0,indice_2002_100
ciu,Inversion-en-Maquinaria-y-Equipos-3o-trimestre-2020.pdf,8,imeq,2016,1,imeq_sector_privado_sin_celulosa,Sector privado sin celulosa,422.0,indice_2002_100
ciu,Inversion-en-Maquinaria-y-Equipos-3o-trimestre-2020.pdf,8,imeq,2016,1,imeq_sector_privado_sin_zf_ni_celulosa,Sector privado sin ZF ni celulosa,412.0,indice_2002_100
ciu,Inversion-en-Maquinaria-y-Equipos-3o-trimestre-2020.pdf,8,imeq,2016,1,imeq_total_economia_sin_celulosa,Economía sin celulosa,426.0,indice_2002_100
ciu,Inversion-en-Maquinaria-y-Equipos-3o-trimestre-2020.pdf,8,imeq,2016,2,imeq_industria_sin_refineria_ni_zf,Industria sin refinería ni ZF,289.0,indice_2002_100
ciu,Inversion-en-Maquinaria-y-Equipos-3o-trimestre-2020.pdf,8,imeq,2016,2,imeq_sector_privado_sin_celulosa,Sector privado sin celulosa,725.0,indice_2002_100
